 -7.940000000E+00 0.000000000E+00 8.618019978E-03 1.141956097E-06 1.511409803E+01 8.817012058E+01 5.999690511E+00 1.760043205E-02 8.821976177E-05 2.260175020E-14
 -7.504520781E+00 0.000000000E+00 8.584328404E-03 0.000000000E+00 1.511751388E+01 8.818426794E+01 6.000083685E+00 1.752257933E-02 8.833322318E-05 2.258820179E-14
 -7.069041561E+00 0.000000000E+00 8.555446022E-03 0.000000000E+00 1.512116334E+01 8.819942907E+01 6.000500513E+00 1.746302786E-02 8.849422401E-05 2.262763710E-14
 -6.645901498E+00 0.000000000E+00 8.577410621E-03 0.000000000E+00 1.512305082E+01 8.820727104E+01 6.000715990E+00 1.750756109E-02 8.866247102E-05 2.269949979E-14
 -6.237558557E+00 0.000000000E+00 8.650744317E-03 0.000000000E+00 1.512271483E+01 8.820581938E+01 6.000681422E+00 1.765731146E-02 8.882768512E-05 2.278319603E-14
 -5.845353880E+00 0.000000000E+00 8.766808849E-03 0.000000000E+00 1.512023124E+01 8.819540975E+01 6.000404066E+00 1.789464079E-02 8.894652293E-05 2.284537263E-14
 -5.470049219E+00 0.000000000E+00 8.912328989E-03 0.000000000E+00 1.511763084E+01 8.818449948E+01 6.000114377E+00 1.819217082E-02 8.899976258E-05 2.290138729E-14
 -5.112033922E+00 0.000000000E+00 9.154732369E-03 0.000000000E+00 1.511752989E+01 8.818388935E+01 6.000115831E+00 1.868733639E-02 8.937213337E-05 2.324714090E-14
 -4.771434254E+00 0.000000000E+00 9.653659312E-03 0.000000000E+00 1.511800128E+01 8.818557821E+01 6.000188016E+00 1.970619176E-02 9.038630644E-05 2.403742412E-14
 -4.448181421E+00 0.000000000E+00 1.040689386E-02 0.000000000E+00 1.511558548E+01 8.817540332E+01 5.999921442E+00 2.124436345E-02 9.151440932E-05 2.491903346E-14
 -4.142058307E+00 0.000000000E+00 1.127821215E-02 0.000000000E+00 1.511236227E+01 8.816198294E+01 5.999555178E+00 2.302362908E-02 9.239970258E-05 2.585700673E-14
 -3.852733752E+00 0.000000000E+00 1.224086977E-02 0.000000000E+00 1.511111060E+01 8.815666551E+01 5.999420117E+00 2.498915239E-02 9.175766914E-05 2.675651079E-14
 -3.579788802E+00 0.000000000E+00 1.335903048E-02 0.000000000E+00 1.511061675E+01 8.815440222E+01 5.999378071E+00 2.727203187E-02 8.843016326E-05 2.736548612E-14
 -3.322737436E+00 0.000000000E+00 1.468839128E-02 0.000000000E+00 1.510949194E+01 8.814949362E+01 5.999265529E+00 2.998625120E-02 8.312479914E-05 2.785144923E-14
 -3.081043272E+00 0.000000000E+00 1.625867466E-02 0.000000000E+00 1.510750169E+01 8.814098508E+01 5.999054338E+00 3.319260733E-02 7.651986377E-05 2.836165578E-14
 -2.854133212E+00 0.000000000E+00 1.809468900E-02 0.000000000E+00 1.510467457E+01 8.812897692E+01 5.998748962E+00 3.694182392E-02 6.902288433E-05 2.895243710E-14
 -2.641408709E+00 0.000000000E+00 2.022585575E-02 0.000000000E+00 1.510091181E+01 8.811305119E+01 5.998338542E+00 4.129412674E-02 6.102747866E-05 2.966354554E-14
 -2.442255095E+00 0.000000000E+00 2.268725889E-02 0.000000000E+00 1.509603735E+01 8.809247745E+01 5.997802751E+00 4.632140193E-02 5.299143780E-05 3.055626363E-14
 -2.256049346E+00 0.000000000E+00 2.552074166E-02 0.000000000E+00 1.508979204E+01 8.806617671E+01 5.997111887E+00 5.210946619E-02 4.536136231E-05 3.171173834E-14
 -2.082166526E+00 0.000000000E+00 2.877536405E-02 0.000000000E+00 1.508179702E+01 8.803256773E+01 5.996222757E+00 5.875906902E-02 3.848253644E-05 3.322368877E-14
 -1.919985131E+00 0.000000000E+00 3.250635290E-02 0.000000000E+00 1.507154724E+01 8.798954090E+01 5.995077731E+00 6.638383616E-02 3.255368517E-05 3.519763802E-14
 -1.768891486E+00 0.000000000E+00 3.677346973E-02 0.000000000E+00 1.505839395E+01 8.793438545E+01 5.993602610E+00 7.510706206E-02 2.763071550E-05 3.775434546E-14
 -1.628283356E+00 0.000000000E+00 4.163925548E-02 0.000000000E+00 1.504151315E+01 8.786365551E+01 5.991702874E+00 8.505830584E-02 2.366210594E-05 4.103408603E-14
 -1.497572853E+00 0.000000000E+00 4.716708272E-02 0.000000000E+00 1.501988565E+01 8.777308068E+01 5.989261444E+00 9.636964382E-02 2.053445222E-05 4.520137809E-14
 -1.376188764E+00 0.000000000E+00 5.341869709E-02 0.000000000E+00 1.499228241E+01 8.765749423E+01 5.986137014E+00 1.091709397E-01 1.811276831E-05 5.045008210E-14
 -1.263578361E+00 0.000000000E+00 6.045041013E-02 0.000000000E+00 1.495723135E+01 8.751069342E+01 5.982159371E+00 1.235824616E-01 1.626778132E-05 5.700570308E-14
 -1.159208786E+00 0.000000000E+00 6.830792895E-02 0.000000000E+00 1.491300568E+01 8.732539675E+01 5.977126112E+00 1.397047885E-01 1.488791270E-05 6.512205370E-14
 -1.062568041E+00 0.000000000E+00 7.702257201E-02 0.000000000E+00 1.485771516E+01 8.709361112E+01 5.970812024E+00 1.576114677E-01 1.387967463E-05 7.507631333E-14
 -9.731656738E-01 0.000000000E+00 8.661158289E-02 0.000000000E+00 1.478941176E+01 8.680703634E+01 5.962981234E+00 1.773499876E-01 1.316495207E-05 8.716604258E-14
 -8.905331766E-01 0.000000000E+00 9.707973038E-02 0.000000000E+00 1.470605694E+01 8.645690047E+01 5.953382294E+00 1.989455791E-01 1.268031698E-05 1.017020211E-13
