      10    1  0.405E+00 0.216E+00 0.471E-01 0.206E+00 0.232E+00 0.958E-02 0.514E-01
      20    1  0.342E+00 0.201E+00 0.436E-01 0.182E+00 0.198E+00 0.888E-02 0.477E-01
      30    1  0.328E+00 0.188E+00 0.419E-01 0.147E+00 0.190E+00 0.759E-02 0.449E-01
      40    1  0.296E+00 0.181E+00 0.414E-01 0.140E+00 0.173E+00 0.627E-02 0.416E-01
      50    1  0.292E+00 0.177E+00 0.408E-01 0.120E+00 0.171E+00 0.556E-02 0.421E-01
      60    1  0.288E+00 0.176E+00 0.400E-01 0.119E+00 0.168E+00 0.582E-02 0.421E-01
      70    1  0.280E+00 0.170E+00 0.388E-01 0.104E+00 0.162E+00 0.681E-02 0.422E-01
      80    1  0.257E+00 0.163E+00 0.378E-01 0.987E-01 0.149E+00 0.804E-02 0.404E-01
      90    1  0.246E+00 0.159E+00 0.369E-01 0.854E-01 0.144E+00 0.904E-02 0.391E-01
     100    1  0.235E+00 0.158E+00 0.364E-01 0.875E-01 0.140E+00 0.868E-02 0.379E-01
     110    1  0.244E+00 0.160E+00 0.367E-01 0.875E-01 0.145E+00 0.729E-02 0.384E-01
     120    1  0.245E+00 0.160E+00 0.372E-01 0.911E-01 0.145E+00 0.574E-02 0.392E-01
     130    1  0.247E+00 0.160E+00 0.369E-01 0.885E-01 0.146E+00 0.522E-02 0.400E-01
     140    1  0.255E+00 0.163E+00 0.370E-01 0.925E-01 0.150E+00 0.568E-02 0.392E-01
     150    1  0.249E+00 0.164E+00 0.371E-01 0.906E-01 0.146E+00 0.675E-02 0.374E-01
     160    1  0.228E+00 0.156E+00 0.364E-01 0.792E-01 0.134E+00 0.783E-02 0.360E-01
     170    1  0.228E+00 0.153E+00 0.357E-01 0.772E-01 0.135E+00 0.842E-02 0.356E-01
     180    1  0.221E+00 0.153E+00 0.354E-01 0.753E-01 0.132E+00 0.849E-02 0.361E-01
     190    1  0.221E+00 0.154E+00 0.356E-01 0.754E-01 0.132E+00 0.796E-02 0.366E-01
     200    1  0.229E+00 0.156E+00 0.362E-01 0.805E-01 0.137E+00 0.694E-02 0.380E-01
     210    1  0.247E+00 0.162E+00 0.371E-01 0.903E-01 0.147E+00 0.598E-02 0.391E-01
     220    1  0.260E+00 0.167E+00 0.376E-01 0.968E-01 0.153E+00 0.615E-02 0.395E-01
     230    1  0.240E+00 0.157E+00 0.361E-01 0.795E-01 0.141E+00 0.727E-02 0.384E-01
     240    1  0.225E+00 0.152E+00 0.354E-01 0.721E-01 0.131E+00 0.854E-02 0.365E-01
     250    1  0.218E+00 0.152E+00 0.354E-01 0.716E-01 0.129E+00 0.911E-02 0.351E-01
     260    1  0.221E+00 0.153E+00 0.358E-01 0.739E-01 0.132E+00 0.839E-02 0.351E-01
     270    1  0.220E+00 0.152E+00 0.356E-01 0.748E-01 0.132E+00 0.710E-02 0.365E-01
     280    1  0.224E+00 0.151E+00 0.349E-01 0.730E-01 0.134E+00 0.596E-02 0.375E-01
