  0.12231E+01  0.32000E+02  0.21087E+04  0.35481E+03
  0.13192E+01  0.32000E+02  0.23147E+04  0.37767E+03
  0.14203E+01  0.32000E+02  0.25391E+04  0.40176E+03
  0.15263E+01  0.32000E+02  0.27825E+04  0.42712E+03
  0.16375E+01  0.32000E+02  0.30447E+04  0.45374E+03
  0.17540E+01  0.32000E+02  0.33248E+04  0.48166E+03
  0.18758E+01  0.32000E+02  0.36221E+04  0.51091E+03
  0.20031E+01  0.32000E+02  0.39365E+04  0.54147E+03
  0.21360E+01  0.32000E+02  0.42681E+04  0.57314E+03
  0.22745E+01  0.31000E+02  0.46323E+04  0.60666E+03
  0.24188E+01  0.31000E+02  0.50054E+04  0.64031E+03
  0.25689E+01  0.31000E+02  0.54006E+04  0.67496E+03
  0.27249E+01  0.31000E+02  0.58190E+04  0.71071E+03
  0.28869E+01  0.31000E+02  0.62612E+04  0.74773E+03
  0.30549E+01  0.31000E+02  0.67282E+04  0.78601E+03
  0.32290E+01  0.31000E+02  0.72197E+04  0.82541E+03
  0.34093E+01  0.31000E+02  0.77351E+04  0.86581E+03
  0.35957E+01  0.31000E+02  0.82736E+04  0.90712E+03
  0.37882E+01  0.31000E+02  0.88340E+04  0.94934E+03
  0.39871E+01  0.30000E+02  0.94676E+04  0.99445E+03
  0.41921E+01  0.30000E+02  0.10080E+05  0.10389E+04
  0.44034E+01  0.30000E+02  0.10714E+05  0.10844E+04
  0.46209E+01  0.30000E+02  0.11340E+05  0.11322E+04
  0.48446E+01  0.30000E+02  0.11914E+05  0.11831E+04
  0.50746E+01  0.30000E+02  0.12423E+05  0.12344E+04
  0.53107E+01  0.30000E+02  0.12913E+05  0.12814E+04
  0.55530E+01  0.31000E+02  0.13380E+05  0.13155E+04
  0.58014E+01  0.31000E+02  0.13908E+05  0.13520E+04
  0.60559E+01  0.31000E+02  0.14422E+05  0.13863E+04
  0.63164E+01  0.31000E+02  0.14916E+05  0.14189E+04
  0.65828E+01  0.31000E+02  0.15390E+05  0.14495E+04
  0.68551E+01  0.31000E+02  0.15847E+05  0.14783E+04
  0.71333E+01  0.31000E+02  0.16289E+05  0.15054E+04
  0.74171E+01  0.31000E+02  0.16723E+05  0.15310E+04
  0.77067E+01  0.32000E+02  0.17084E+05  0.15485E+04
  0.80018E+01  0.32000E+02  0.17537E+05  0.15720E+04
  0.83023E+01  0.32000E+02  0.17991E+05  0.15952E+04
  0.86082E+01  0.32000E+02  0.18452E+05  0.16187E+04
  0.89194E+01  0.32000E+02  0.18915E+05  0.16436E+04
  0.92357E+01  0.32000E+02  0.19377E+05  0.16702E+04
  0.95571E+01  0.32000E+02  0.19841E+05  0.16982E+04
  0.98834E+01  0.32000E+02  0.20313E+05  0.17272E+04
  0.10214E+02  0.32000E+02  0.20796E+05  0.17571E+04
  0.10550E+02  0.32000E+02  0.21295E+05  0.17877E+04
  0.10891E+02  0.32000E+02  0.21817E+05  0.18190E+04
  0.11235E+02  0.32000E+02  0.22364E+05  0.18515E+04
  0.11584E+02  0.32000E+02  0.22937E+05  0.18856E+04
  0.11938E+02  0.32000E+02  0.23537E+05  0.19217E+04
  0.12295E+02  0.32000E+02  0.24167E+05  0.19599E+04
  0.12656E+02  0.32000E+02  0.24828E+05  0.20004E+04
  0.13021E+02  0.32000E+02  0.25513E+05  0.20437E+04
  0.13390E+02  0.32000E+02  0.26205E+05  0.20902E+04
  0.13762E+02  0.31000E+02  0.27117E+05  0.21445E+04
  0.14138E+02  0.31000E+02  0.27923E+05  0.21931E+04
  0.14516E+02  0.31000E+02  0.28747E+05  0.22431E+04
  0.14898E+02  0.31000E+02  0.29563E+05  0.22969E+04
  0.15283E+02  0.30000E+02  0.30589E+05  0.23570E+04
  0.15671E+02  0.30000E+02  0.31450E+05  0.24115E+04
  0.16061E+02  0.30000E+02  0.32289E+05  0.24654E+04
  0.16454E+02  0.30000E+02  0.33069E+05  0.25218E+04
  0.16850E+02  0.29000E+02  0.34142E+05  0.25778E+04
  0.17248E+02  0.29000E+02  0.34952E+05  0.26265E+04
  0.17648E+02  0.29000E+02  0.35718E+05  0.26721E+04
  0.18050E+02  0.29000E+02  0.36385E+05  0.27180E+04
  0.18455E+02  0.28000E+02  0.37390E+05  0.27569E+04
  0.18861E+02  0.28000E+02  0.37997E+05  0.27943E+04
  0.19269E+02  0.28000E+02  0.38512E+05  0.28295E+04
  0.19679E+02  0.28000E+02  0.38945E+05  0.28628E+04
  0.20090E+02  0.28000E+02  0.39306E+05  0.28938E+04
  0.20503E+02  0.28000E+02  0.39613E+05  0.29214E+04
  0.20917E+02  0.28000E+02  0.39876E+05  0.29467E+04
  0.21332E+02  0.27000E+02  0.40660E+05  0.29646E+04
  0.21749E+02  0.27000E+02  0.40948E+05  0.29915E+04
  0.22167E+02  0.27000E+02  0.41211E+05  0.30200E+04
  0.22585E+02  0.27000E+02  0.41546E+05  0.30454E+04
  0.23005E+02  0.27000E+02  0.41959E+05  0.30713E+04
  0.23426E+02  0.27000E+02  0.42391E+05  0.31040E+04
  0.23847E+02  0.27000E+02  0.42815E+05  0.31436E+04
  0.24270E+02  0.27000E+02  0.43241E+05  0.31875E+04
  0.24692E+02  0.26000E+02  0.44409E+05  0.32229E+04
  0.25116E+02  0.26000E+02  0.45050E+05  0.32691E+04
  0.25540E+02  0.26000E+02  0.45707E+05  0.33200E+04
  0.25965E+02  0.26000E+02  0.46339E+05  0.33755E+04
  0.26390E+02  0.26000E+02  0.46929E+05  0.34337E+04
  0.26815E+02  0.25000E+02  0.48327E+05  0.34737E+04
  0.27241E+02  0.25000E+02  0.49095E+05  0.35280E+04
  0.27667E+02  0.25000E+02  0.49824E+05  0.35873E+04
  0.28093E+02  0.25000E+02  0.50470E+05  0.36528E+04
  0.28520E+02  0.25000E+02  0.51041E+05  0.37224E+04
  0.28946E+02  0.24000E+02  0.52516E+05  0.37658E+04
  0.29373E+02  0.24000E+02  0.53251E+05  0.38304E+04
  0.29801E+02  0.24000E+02  0.53980E+05  0.38964E+04
  0.30228E+02  0.24000E+02  0.54668E+05  0.39653E+04
  0.30655E+02  0.24000E+02  0.55296E+05  0.40371E+04
  0.31083E+02  0.23000E+02  0.56899E+05  0.40757E+04
  0.31510E+02  0.23000E+02  0.57729E+05  0.41404E+04
  0.31938E+02  0.23000E+02  0.58547E+05  0.42085E+04
  0.32365E+02  0.23000E+02  0.59309E+05  0.42825E+04
  0.32793E+02  0.22000E+02  0.60869E+05  0.43258E+04
  0.33220E+02  0.22000E+02  0.61769E+05  0.43936E+04
  0.33648E+02  0.22000E+02  0.62625E+05  0.44624E+04
  0.34076E+02  0.22000E+02  0.63377E+05  0.45379E+04
  0.34503E+02  0.22000E+02  0.63982E+05  0.46187E+04
  0.34931E+02  0.21000E+02  0.65637E+05  0.46618E+04
  0.35359E+02  0.21000E+02  0.66274E+05  0.47420E+04
