 -0.77223E+01  0.84625E-02  0.31551E-05 -0.24973E-06 -0.13722E-02  0.95803E+02 -0.52155E-03
 -0.72868E+01  0.84689E-02  0.65985E-05 -0.45644E-06 -0.13742E-02  0.95802E+02 -0.52234E-03
 -0.68575E+01  0.85237E-02  0.81408E-05 -0.56158E-06 -0.13920E-02  0.95796E+02 -0.52912E-03
 -0.64417E+01  0.86023E-02  0.58671E-05 -0.60068E-06 -0.14177E-02  0.95791E+02 -0.53892E-03
 -0.60415E+01  0.87408E-02 -0.10574E-05 -0.50289E-06 -0.14636E-02  0.95785E+02 -0.55642E-03
 -0.56577E+01  0.89498E-02 -0.13817E-04 -0.28184E-06 -0.15344E-02  0.95782E+02 -0.58334E-03
 -0.52910E+01  0.92506E-02 -0.31607E-04 -0.31261E-07 -0.16393E-02  0.95782E+02 -0.62322E-03
 -0.49417E+01  0.96713E-02 -0.52271E-04  0.16163E-06 -0.17919E-02  0.95783E+02 -0.68121E-03
 -0.46098E+01  0.10231E-01 -0.73353E-04  0.28445E-06 -0.20053E-02  0.95784E+02 -0.76236E-03
 -0.42951E+01  0.10941E-01 -0.93981E-04  0.35572E-06 -0.22931E-02  0.95783E+02 -0.87179E-03
 -0.39974E+01  0.11810E-01 -0.11366E-03  0.39109E-06 -0.26720E-02  0.95780E+02 -0.10159E-02
 -0.37163E+01  0.12852E-01 -0.13270E-03  0.40931E-06 -0.31644E-02  0.95775E+02 -0.12031E-02
 -0.34513E+01  0.14085E-01 -0.15135E-03  0.43341E-06 -0.38001E-02  0.95769E+02 -0.14449E-02
 -0.32019E+01  0.15528E-01 -0.17009E-03  0.47078E-06 -0.46184E-02  0.95760E+02 -0.17562E-02
 -0.29676E+01  0.17208E-01 -0.18922E-03  0.52595E-06 -0.56713E-02  0.95750E+02 -0.21568E-02
 -0.27478E+01  0.19156E-01 -0.20901E-03  0.60197E-06 -0.70269E-02  0.95736E+02 -0.26727E-02
 -0.25418E+01  0.21408E-01 -0.22961E-03  0.69889E-06 -0.87745E-02  0.95718E+02 -0.33381E-02
 -0.23492E+01  0.24006E-01 -0.25115E-03  0.81353E-06 -0.11031E-01  0.95694E+02 -0.41974E-02
 -0.21691E+01  0.26997E-01 -0.27368E-03  0.95687E-06 -0.13946E-01  0.95664E+02 -0.53086E-02
 -0.20011E+01  0.30435E-01 -0.29721E-03  0.11524E-05 -0.17717E-01  0.95624E+02 -0.67466E-02
 -0.18444E+01  0.34377E-01 -0.32167E-03  0.14037E-05 -0.22591E-01  0.95573E+02 -0.86074E-02
 -0.16986E+01  0.38884E-01 -0.34693E-03  0.16877E-05 -0.28883E-01  0.95506E+02 -0.11012E-01
 -0.15629E+01  0.44019E-01 -0.37277E-03  0.19934E-05 -0.36982E-01  0.95421E+02 -0.14113E-01
 -0.14369E+01  0.49844E-01 -0.39893E-03  0.23367E-05 -0.47361E-01  0.95311E+02 -0.18094E-01
 -0.13199E+01  0.56415E-01 -0.42507E-03  0.27346E-05 -0.60583E-01  0.95172E+02 -0.23180E-01
 -0.12114E+01  0.63783E-01 -0.45082E-03  0.31855E-05 -0.77296E-01  0.94995E+02 -0.29630E-01
 -0.11109E+01  0.71986E-01 -0.47585E-03  0.36749E-05 -0.98225E-01  0.94773E+02 -0.37741E-01
 -0.10179E+01  0.81049E-01 -0.49995E-03  0.41860E-05 -0.12415E+00  0.94497E+02 -0.47843E-01
 -0.93185E+00  0.90987E-01 -0.52297E-03  0.47039E-05 -0.15590E+00  0.94157E+02 -0.60294E-01
 -0.85238E+00  0.10180E+00 -0.54469E-03  0.52178E-05 -0.19429E+00  0.93744E+02 -0.75471E-01
 -0.77902E+00  0.11346E+00 -0.56483E-03  0.57200E-05 -0.24009E+00  0.93248E+02 -0.93756E-01
 -0.71136E+00  0.12594E+00 -0.58309E-03  0.62043E-05 -0.29395E+00  0.92659E+02 -0.11552E+00
 -0.64900E+00  0.13919E+00 -0.59917E-03  0.66659E-05 -0.35636E+00  0.91970E+02 -0.14110E+00
 -0.59158E+00  0.15313E+00 -0.61285E-03  0.71011E-05 -0.42758E+00  0.91174E+02 -0.17077E+00
 -0.53875E+00  0.16768E+00 -0.62395E-03  0.75072E-05 -0.50760E+00  0.90268E+02 -0.20476E+00
 -0.49017E+00  0.18275E+00 -0.63238E-03  0.78828E-05 -0.59612E+00  0.89248E+02 -0.24322E+00
 -0.44555E+00  0.19824E+00 -0.63813E-03  0.82275E-05 -0.69258E+00  0.88117E+02 -0.28621E+00
 -0.40457E+00  0.21406E+00 -0.64126E-03  0.85416E-05 -0.79619E+00  0.86877E+02 -0.33372E+00
 -0.36699E+00  0.23013E+00 -0.64193E-03  0.88262E-05 -0.90598E+00  0.85531E+02 -0.38571E+00
 -0.33253E+00  0.24639E+00 -0.64021E-03  0.90827E-05 -0.10209E+01  0.84086E+02 -0.44212E+00
