 -0.77223E+01  0.00000E+00  0.40206E+05  0.32577E+02  0.15087E-04  0.10000E+01  0.62021E+01  0.15696E+05  0.33676E+04 -0.82937E+03  0.49840E+02
 -0.72868E+01  0.00000E+00  0.12062E+06  0.32577E+02  0.14949E-04  0.10000E+01  0.62021E+01  0.11588E+06  0.50988E+03 -0.44224E+04  0.49516E+02
 -0.68575E+01  0.00000E+00  0.19989E+06  0.32576E+02  0.14874E-04  0.10000E+01  0.62021E+01  0.22753E+06 -0.40477E+03 -0.53800E+04  0.49315E+02
 -0.64417E+01  0.00000E+00  0.27666E+06  0.32575E+02  0.14910E-04  0.10000E+01  0.62020E+01  0.24715E+06 -0.19699E+04 -0.66066E+04  0.49329E+02
 -0.60415E+01  0.00000E+00  0.35057E+06  0.32574E+02  0.15080E-04  0.99999E+00  0.62020E+01  0.27010E+06 -0.88554E+04 -0.13929E+05  0.49593E+02
 -0.56577E+01  0.00000E+00  0.42143E+06  0.32573E+02  0.15407E-04  0.99999E+00  0.62019E+01  0.30873E+06 -0.32100E+05 -0.41569E+05  0.50095E+02
 -0.52910E+01  0.00000E+00  0.48913E+06  0.32574E+02  0.16040E-04  0.99999E+00  0.62019E+01  0.34065E+06 -0.75496E+05 -0.10199E+06  0.50676E+02
 -0.49417E+01  0.00000E+00  0.55363E+06  0.32574E+02  0.17289E-04  0.10000E+01  0.62020E+01  0.32307E+06 -0.78663E+05 -0.10794E+06  0.50999E+02
 -0.46098E+01  0.00000E+00  0.61492E+06  0.32574E+02  0.19325E-04  0.10000E+01  0.62020E+01  0.29071E+06 -0.54989E+05 -0.73279E+05  0.51065E+02
 -0.42951E+01  0.00000E+00  0.67303E+06  0.32572E+02  0.22160E-04  0.99998E+00  0.62019E+01  0.25298E+06 -0.42314E+05 -0.56226E+05  0.51101E+02
 -0.39974E+01  0.00000E+00  0.72801E+06  0.32570E+02  0.25908E-04  0.99995E+00  0.62018E+01  0.23942E+06 -0.38005E+05 -0.50163E+05  0.51132E+02
 -0.37163E+01  0.00000E+00  0.77992E+06  0.32567E+02  0.30772E-04  0.99993E+00  0.62016E+01  0.22400E+06 -0.34891E+05 -0.45892E+05  0.51141E+02
 -0.34513E+01  0.00000E+00  0.82886E+06  0.32564E+02  0.37070E-04  0.99990E+00  0.62015E+01  0.20226E+06 -0.30752E+05 -0.40393E+05  0.51135E+02
 -0.32019E+01  0.00000E+00  0.87491E+06  0.32560E+02  0.45225E-04  0.99986E+00  0.62013E+01  0.17141E+06 -0.25292E+05 -0.33359E+05  0.51118E+02
 -0.29676E+01  0.00000E+00  0.91817E+06  0.32555E+02  0.55782E-04  0.99981E+00  0.62010E+01  0.15462E+06 -0.22233E+05 -0.29247E+05  0.51085E+02
 -0.27478E+01  0.00000E+00  0.95877E+06  0.32549E+02  0.69462E-04  0.99975E+00  0.62007E+01  0.14191E+06 -0.19883E+05 -0.26025E+05  0.51037E+02
 -0.25418E+01  0.00000E+00  0.99679E+06  0.32540E+02  0.87221E-04  0.99967E+00  0.62003E+01  0.12788E+06 -0.17500E+05 -0.22829E+05  0.50980E+02
 -0.23492E+01  0.00000E+00  0.10324E+07  0.32529E+02  0.11030E-03  0.99956E+00  0.61997E+01  0.11628E+06 -0.15587E+05 -0.20244E+05  0.50915E+02
 -0.21691E+01  0.00000E+00  0.10656E+07  0.32515E+02  0.14032E-03  0.99942E+00  0.61990E+01  0.10740E+06 -0.14065E+05 -0.18161E+05  0.50846E+02
 -0.20011E+01  0.00000E+00  0.10967E+07  0.32496E+02  0.17936E-03  0.99923E+00  0.61980E+01  0.97981E+05 -0.12538E+05 -0.16116E+05  0.50772E+02
 -0.18444E+01  0.00000E+00  0.11256E+07  0.32472E+02  0.23005E-03  0.99900E+00  0.61968E+01  0.88767E+05 -0.11252E+05 -0.14404E+05  0.50694E+02
 -0.16986E+01  0.00000E+00  0.11525E+07  0.32440E+02  0.29574E-03  0.99870E+00  0.61952E+01  0.79816E+05 -0.10322E+05 -0.13177E+05  0.50613E+02
 -0.15629E+01  0.00000E+00  0.11776E+07  0.32400E+02  0.38058E-03  0.99831E+00  0.61932E+01  0.70428E+05 -0.95047E+04 -0.12127E+05  0.50531E+02
 -0.14369E+01  0.00000E+00  0.12008E+07  0.32347E+02  0.48964E-03  0.99783E+00  0.61907E+01  0.62006E+05 -0.88343E+04 -0.11268E+05  0.50453E+02
 -0.13199E+01  0.00000E+00  0.12224E+07  0.32281E+02  0.62892E-03  0.99722E+00  0.61876E+01  0.54648E+05 -0.81873E+04 -0.10437E+05  0.50379E+02
 -0.12114E+01  0.00000E+00  0.12425E+07  0.32196E+02  0.80525E-03  0.99646E+00  0.61836E+01  0.48251E+05 -0.75785E+04 -0.96473E+04  0.50309E+02
 -0.11109E+01  0.00000E+00  0.12610E+07  0.32090E+02  0.10261E-02  0.99548E+00  0.61785E+01  0.42715E+05 -0.69807E+04 -0.88733E+04  0.50245E+02
 -0.10179E+01  0.00000E+00  0.12782E+07  0.31957E+02  0.12997E-02  0.99422E+00  0.61719E+01  0.37942E+05 -0.64500E+04 -0.81862E+04  0.50191E+02
 -0.93185E+00  0.00000E+00  0.12941E+07  0.31794E+02  0.16345E-02  0.99254E+00  0.61632E+01  0.33838E+05 -0.59864E+04 -0.75848E+04  0.50152E+02
 -0.85238E+00  0.00000E+00  0.13088E+07  0.31596E+02  0.20388E-02  0.99032E+00  0.61516E+01  0.30316E+05 -0.55819E+04 -0.70556E+04  0.50130E+02
