 -7.940000000E+00 0.000000000E+00 0.000000000E+00 8.459871968E-03 2.443571483E-07 6.425314052E-09 1.631775429E+01 9.580268890E+01 6.202275835E+00 1.732413169E-02 9.571079833E-05 1.988877313E-14
 -7.504520781E+00 0.000000000E+00 0.000000000E+00 8.465240050E-03 5.888122640E-08 1.555764717E-09 1.631772235E+01 9.580245387E+01 6.202278833E+00 1.733539464E-02 9.594278263E-05 1.978191378E-14
 -7.069041561E+00 0.000000000E+00 0.000000000E+00 8.495966195E-03 -4.492336554E-08 1.611542315E-09 1.631693571E+01 9.579902941E+01 6.202201432E+00 1.739842185E-02 9.619757841E-05 1.975023970E-14
 -6.645901498E+00 0.000000000E+00 0.000000000E+00 8.563126246E-03 -4.263463569E-08 1.206419945E-09 1.631558307E+01 9.579322721E+01 6.202062851E+00 1.753615181E-02 9.651507683E-05 1.981437875E-14
 -6.237558557E+00 0.000000000E+00 0.000000000E+00 8.672362381E-03 7.105400444E-08 1.603312682E-09 1.631433092E+01 9.578789424E+01 6.201932111E+00 1.776004476E-02 9.689780130E-05 1.993873112E-14
 -5.845353880E+00 0.000000000E+00 0.000000000E+00 8.846849396E-03 1.790981631E-07 2.646026020E-09 1.631327479E+01 9.578345841E+01 6.201817834E+00 1.811753199E-02 9.737590944E-05 2.013053538E-14
 -5.470049219E+00 0.000000000E+00 0.000000000E+00 9.102332711E-03 2.433425595E-07 2.409898683E-09 1.631287704E+01 9.578184628E+01 6.201771049E+00 1.864075001E-02 9.828010279E-05 2.049244648E-14
 -5.112033922E+00 0.000000000E+00 0.000000000E+00 9.463375104E-03 2.935454272E-07 7.414799872E-10 1.631300912E+01 9.578247856E+01 6.201780379E+00 1.937998153E-02 1.001087853E-04 2.121598111E-14
 -4.771434254E+00 0.000000000E+00 0.000000000E+00 9.953587848E-03 2.998822328E-07 -4.875827926E-10 1.631321271E+01 9.578339157E+01 6.201798714E+00 2.038364794E-02 1.036824421E-04 2.267312027E-14
 -4.448181421E+00 0.000000000E+00 0.000000000E+00 1.058820745E-02 2.889103878E-07 -9.595372933E-10 1.631314255E+01 9.578311487E+01 6.201790006E+00 2.168303798E-02 1.107629958E-04 2.555081694E-14
 -4.142058307E+00 0.000000000E+00 0.000000000E+00 1.137778680E-02 2.841641563E-07 -1.371071592E-09 1.631266592E+01 9.578109238E+01 6.201739797E+00 2.329983134E-02 1.201164798E-04 2.985856815E-14
 -3.852733752E+00 0.000000000E+00 0.000000000E+00 1.233398989E-02 2.984151076E-07 -1.474036406E-09 1.631176386E+01 9.577725956E+01 6.201645045E+00 2.525796496E-02 1.266625557E-04 3.456765173E-14
 -3.579788802E+00 0.000000000E+00 0.000000000E+00 1.347178624E-02 3.357298375E-07 -1.181406630E-09 1.631046214E+01 9.577174220E+01 6.201507401E+00 2.758813371E-02 1.276623964E-04 3.896056661E-14
 -3.322737436E+00 0.000000000E+00 0.000000000E+00 1.480996096E-02 3.900320291E-07 -6.931410783E-10 1.630874805E+01 9.576449899E+01 6.201324688E+00 3.032885626E-02 1.237194003E-04 4.301507882E-14
 -3.081043272E+00 0.000000000E+00 0.000000000E+00 1.637196506E-02 4.537316673E-07 -1.881114002E-10 1.630652965E+01 9.575514902E+01 6.201086592E+00 3.352823834E-02 1.164386119E-04 4.698889849E-14
 -2.854133212E+00 0.000000000E+00 0.000000000E+00 1.818620880E-02 5.215517878E-07 2.047099977E-10 1.630363632E+01 9.574297621E+01 6.200774576E+00 3.724459213E-02 1.074676441E-04 5.123989393E-14
 -2.641408709E+00 0.000000000E+00 0.000000000E+00 2.028634426E-02 5.912682051E-07 4.438037870E-10 1.629984445E+01 9.572704008E+01 6.200364433E+00 4.154702961E-02 9.809945178E-05 5.614236692E-14
 -2.442255095E+00 0.000000000E+00 0.000000000E+00 2.271144269E-02 6.627121836E-07 5.429383928E-10 1.629488235E+01 9.570619879E+01 6.199826667E+00 4.651585062E-02 8.918512159E-05 6.206586850E-14
 -2.256049346E+00 0.000000000E+00 0.000000000E+00 2.550619753E-02 7.368478259E-07 5.321873889E-10 1.628841868E+01 9.567906077E+01 6.199125159E+00 5.224299889E-02 8.119163978E-05 6.938832867E-14
 -2.082166526E+00 0.000000000E+00 0.000000000E+00 2.872090653E-02 8.146759506E-07 4.451063127E-10 1.628002932E+01 9.564384548E+01 6.198213547E+00 5.883209069E-02 7.431057338E-05 7.852299551E-14
 -1.919985131E+00 0.000000000E+00 0.000000000E+00 3.241091659E-02 8.966541839E-07 3.299140102E-10 1.626916860E+01 9.559826098E+01 6.197032073E+00 6.639736893E-02 6.856386469E-05 8.994915939E-14
 -1.768891486E+00 0.000000000E+00 0.000000000E+00 3.663559176E-02 9.826053572E-07 2.289994992E-10 1.625513776E+01 9.553937027E+01 6.195504086E+00 7.506171708E-02 6.388511401E-05 1.042424395E-13
 -1.628283356E+00 0.000000000E+00 0.000000000E+00 4.145670092E-02 1.071876218E-06 1.476339856E-10 1.623706011E+01 9.546348401E+01 6.193533229E+00 8.495352699E-02 6.017235328E-05 1.221036684E-13
 -1.497572853E+00 0.000000000E+00 0.000000000E+00 4.693633264E-02 1.163491823E-06 7.271024937E-11 1.621385157E+01 9.536603305E+01 6.191000034E+00 9.620265751E-02 5.731812812E-05 1.443854868E-13
 -1.376188764E+00 0.000000000E+00 0.000000000E+00 5.283537002E-02 1.306132983E-06 6.612757182E-09 1.618750945E+01 9.525542450E+01 6.188124164E+00 1.083154063E-01 5.498532200E-05 1.693694598E-13
